Year,T,H,P
1990,20.72,9.1,0
1990,19.83,8.92,0
1990,20.76,9.37,0
1990,21.98,8.49,0
1990,22.39,8.03,0
1990,24.1,7.84,0
1990,25.62,7.12,0
1990,23.73,7.51,0
1990,21.07,8.72,0
1990,21.93,8.83,0
1990,23.26,8.32,0
1990,24.51,8.44,0
1990,26.73,9.21,0
1990,27.37,10.98,2.09
1990,28.5,10.57,0.2
1990,27.27,10.68,0.03
1990,25.95,9.84,0.15
1990,26.9,10.04,0.22
1990,28.17,10.71,0.74
1990,27.2,11.13,0.26
1990,24.6,9.02,0.01
1990,20.58,10.08,0.07
1990,19.97,10.04,0.1
1990,21.47,8.95,0.01
1990,22.06,9.15,0
1990,21.97,9.4,0
1990,20.3,9.71,0
1990,19.41,9.36,0
1990,21.05,9.59,0
1990,21.83,8.7,0.01
1990,20.59,9.43,0
1990,19.24,9.74,0
1990,18.31,7.83,0
1990,18.83,7.38,0
1990,21.54,6.66,0
1990,24.62,6.22,0
1990,24.99,7.79,0
1990,24.73,8.59,0
1990,22.89,6.95,0
1990,23.13,6.28,0
1990,23.47,7.51,0
1990,23.37,6.67,0
1990,25.31,5.99,0.1
1990,26.43,9.67,0.05
1990,25.87,8.51,0
1990,26.8,7.31,0
1990,27.61,6.43,0
1990,28.39,6.47,0
1990,28.17,6.19,0
1990,28.03,5.64,0
1990,27.81,5.93,0
1990,26.35,7,0
1990,24.55,9.08,0
1990,23.23,7.4,0
1990,21.41,7.2,0
1990,19.04,8.94,0
1990,19.17,9.54,0
1990,19.65,9.37,0.08
1990,19.95,9.19,0.1
1990,19.62,10.02,0
1990,20.09,9.89,0
1990,19.83,9.45,0
1990,20,8.86,0
1990,20.96,8.52,0
1990,21.01,8.69,0
1990,19.51,9.31,0.01
1990,19.68,8.8,0.01
1990,21.14,8,0.08
1990,23.21,6.36,0.04
1990,21.52,8.36,0
1990,19.8,8.38,0
1990,22.63,7.32,0
1990,24.19,7.28,0
1990,21.57,8.76,0
1990,17.61,8.98,0
1990,18.63,7.86,0
1990,20.19,2.89,0
1990,21.97,2.67,0
1990,22.21,3.55,0
1990,21.24,5.78,0
1990,21.32,5.13,0
1990,20.23,6.71,0
1990,20.05,7.06,0
1990,19.88,6.86,0
1990,18.89,7.27,0
1990,19.25,7.59,0
1990,18.57,9.32,0.03
1990,17.58,7.3,0.01
1990,17.87,2.94,0
1990,18.97,2.92,0
1990,20.87,3.77,0
1990,21.52,4.35,0
1990,23.36,3.82,0
1990,23.2,3.95,0
1990,22.49,4.41,0
1990,22.49,4.06,0
1990,21.38,4.36,0
1990,19.56,5.78,0
1990,17.28,7.66,0
1990,15.97,8.29,0
1990,14.23,5.65,0.01
1990,12.91,2.71,0
1990,12.85,2.19,0
1990,15.55,2.99,0
1990,15.96,5.24,0
1990,13.04,2.96,0
1990,12.57,2.24,0
