Year,T
2005,15.74
2005,12.89
2005,16.65
2005,17.59
2005,19.43
2005,19.85
2005,18.2
2005,17.97
2005,16.54
2005,17.89
2005,20
2005,19.18
2005,14.31
2005,13.01
2005,12.11
2005,13.16
2005,15.64
2005,17.14
2005,18.64
2005,20.01
2005,20.13
2005,19.1
2005,12.13
2005,13.72
2005,17.62
2005,19.53
2005,16.84
2005,19.86
2005,22.27
2005,19.05
2005,20.31
2005,19.44
2005,18.82
2005,18.76
2005,17.67
2005,19.85
2005,20.76
2005,21.84
2005,22.96
2005,22.79
2005,23.34
2005,22.75
2005,22.97
2005,23.86
2005,24.98
2005,24.02
2005,24
2005,24.24
2005,23.52
2005,22.72
2005,22.39
2005,25.65
2005,27.39
2005,21.94
2005,21.89
2005,24.22
2005,26.58
2005,26.92
2005,25.58
2005,24.09
2005,24.61
2005,24.93
2005,24.72
2005,25.16
2005,25.91
2005,26.57
2005,26.89
2005,27.07
2005,26.76
2005,25.95
2005,25.74
2005,26.89
2005,26.86
2005,27.88
2005,28.71
2005,28.71
2005,28.08
2005,25.13
2005,24.71
2005,24.85
2005,24.85
2005,26.45
2005,27
2005,25.51
2005,24.62
2005,27.44
2005,26.85
2005,25.97
2005,25.68
2005,26.83
2005,27.68
2005,26.56
2005,27.29
2005,27.89
2005,28.76
2005,29.15
2005,28.51
2005,28.27
2005,26.94
2005,26.5
2005,26.92
2005,27.76
2005,28.32
2005,27.68
2005,26.65
2005,27.41
2005,27.81
2005,27.77
2005,27.83
2005,28.51
2005,28.6
2005,29.1
2005,28.28
2005,28.28
2005,27.25
2005,28.15
2005,29.64
2005,29.51
2005,28.09
2005,26.98
2005,26.85
2005,27.48
2005,26.15
2005,26.3
2005,26.09
2005,25.9
2005,26.92
2005,27.05
2005,26.78
2005,27.14
2005,27.4
2005,28.22
2005,28.32
2005,27.99
2005,27.11
2005,28.03
2005,28.68
2005,29.66
2005,29.22
2005,28.21
2005,28.88
2005,29.25
2005,28.84
2005,28.09
2005,28.48
2005,28.07
2005,27.57
2005,28.05
2005,27.76
2005,27.98
2005,27.7
2005,27.54
2005,27.38
2005,27.03
2005,25.64
2005,25.87
2005,25.07
2005,24.93
2005,25.34
2005,25.57
2005,25.38
2005,24.16
2005,23.78
2005,25.31
2005,24.88
2005,24.95
2005,26.24
2005,27.74
2005,28.64
2005,28.35
2005,27.27
2005,26.87
2005,25.88
2005,26.12
2005,26.74
2005,26.27
2005,25.91
2005,26.48
2005,26.4
2005,25.39
2005,26.98
2005,26.32
2005,26.25
2005,26.67
2005,24.91
2005,25.22
2005,24.5
2005,25.56
2005,25.4
2005,26.23
2005,25.86
2005,25.45
2005,24.25
2005,23.66
2005,21.82
2005,21.35
2005,20.56
2005,19.8
2005,19.04
2005,21.05
2005,21.24
2005,22.83
2005,25.55
2005,24.5
2005,18
2005,14.79
2005,10.49
2005,11.51
2005,13.8
2005,13.76
2005,11.96
2005,13.29
2005,17.52
2005,20.04
2005,18.54
2005,17.4
2005,18.63
2005,19.86
2005,20.5
2005,20.06
2005,20.3
2005,19.75
2005,18.69
2005,14.48
2005,17.76
2005,20.08
2005,20.56
2005,21.6
2005,21.99
2005,12.8
2005,10.43
2005,14.75
2005,18.69
2005,18.46
2005,11.18
2005,8.78
2005,16.44
2005,15.36
2005,15.53
2005,19.74
2005,20.51
2005,20.72
2005,11.51
2005,9.17
2005,8.53
2005,11.12
2005,15.06
2005,17.18
2005,10.2
2005,12.63
2005,16.06
2005,13.75
2005,10.71
2005,9.84
2005,7.09
2005,7.2
2005,11.9
2005,16.71
2005,8.38
2005,9.6
2005,10.23
2005,9.12
2005,8.09
2005,5.67
2005,4.03
2005,5.46
2005,9.71
2005,13.95
2005,7.69
2005,7.35
2005,11.5
2005,13.35
2005,9.6
2005,14.88
2006,16.9
2006,19.1
2006,16.44
2006,12.37
2006,14.19
2006,7.13
2006,3.59
2006,7.02
2006,10.6
2006,14.18
2006,17.3
2006,16.78
2006,16.89
2006,7.71
2006,6.24
2006,10.53
2006,14.64
2006,8.64
2006,8.07
2006,14.08
2006,18.62
2006,18.47
2006,19.95
2006,17.92
2006,9.9
2006,6.78
2006,9.56
2006,14.05
2006,15.45
2006,16.67
2006,10.71
2006,9.87
2006,14.82
2006,18.23
2006,15.77
2006,6.65
2006,8.73
2006,11.23
2006,6.19
2006,6.37
2006,8.74
2006,10.76
2006,3.4
2006,1.92
2006,4.62
2006,8.89
2006,13.84
2006,16.73
2006,17.28
2006,10.97
2006,13.15
2006,16.28
2006,17.65
2006,17.3
2006,13.03
2006,16.47
2006,12.42
2006,8.49
2006,11.06
2006,13.45
2006,17.5
2006,17.18
2006,11.32
2006,12.91
2006,15.27
2006,12.32
2006,12.89
